订单号,来源,配送方式,商品金额,期望送达时间,下单时间,打包时间,妥投时间,ctype
43639592,企业团购,配送,771.33,2021-09-30 06:00:00 - 2021-09-30 16:00:00,2021/9/29 20:05,2021/9/30 6:10,2021/9/30 6:20,B
43640254,企业团购,配送,2231.65,2021-09-30 06:00:00 - 2021-09-30 16:00:00,2021/9/29 17:19,2021/9/30 6:12,2021/9/30 6:20,B
43641800,企业团购,配送,3.45,2021-09-30 06:00:00 - 2021-09-30 16:00:00,2021/9/29 21:25,2021/9/30 6:12,2021/9/30 6:20,D
43642516,企业团购,配送,541.59,2021-09-30 06:00:00 - 2021-09-30 17:00:00,2021/9/29 16:10,2021/9/30 6:10,2021/9/30 6:20,B
43643568,企业团购,配送,12407.5,2021-09-30 06:00:00 - 2021-09-30 16:00:00,2021/9/29 18:56,2021/9/30 6:11,2021/9/30 6:20,B
43644148,企业团购,配送,1259.65,2021-09-30 06:00:00 - 2021-09-30 16:00:00,2021/9/29 16:58,2021/9/30 6:10,2021/9/30 6:20,B
43645650,企业团购,配送,1763.25,2021-09-30 06:00:00 - 2021-09-30 17:00:00,2021/9/29 17:48,2021/9/30 6:11,2021/9/30 6:20,B
43646044,企业团购,配送,73.5,2021-09-30 06:00:00 - 2021-09-30 17:00:00,2021/9/29 16:21,2021/9/30 6:44,2021/9/30 6:50,B
43647629,企业团购,配送,2430.86,2021-09-30 06:30:00 - 2021-09-30 17:00:00,2021/9/29 13:36,2021/9/30 6:41,2021/9/30 6:50,B
43648322,企业团购,配送,133.0,2021-09-30 06:30:00 - 2021-09-30 17:00:00,2021/9/29 15:30,2021/9/30 6:41,2021/9/30 6:50,B
43649959,企业团购,配送,1090.03,2021-09-30 06:00:00 - 2021-09-30 17:00:00,2021/9/29 16:28,2021/9/30 6:44,2021/9/30 6:50,B
43650397,企业团购,配送,2275.05,2021-09-30 06:30:00 - 2021-09-30 17:00:00,2021/9/29 18:46,2021/9/30 6:45,2021/9/30 6:50,B
43651020,企业团购,配送,287.23,2021-09-30 06:30:00 - 2021-09-30 17:00:00,2021/9/29 15:56,2021/9/30 6:44,2021/9/30 6:50,D
43652291,企业团购,配送,296.61,2021-09-30 06:30:00 - 2021-09-30 17:00:00,2021/9/29 19:31,2021/9/30 6:45,2021/9/30 6:50,D
